Rank,Ticker,Name,Weight
433,UPBD,UPBOUND GROUP INC,0.081165
434,FIZZ,NATIONAL BEVERAGE CORP,0.081099
435,PRLB,PROTO LABS INC,0.080849
436,DCOM,DIME COMMUNITY BANCSHARES IN,0.080223
437,SAFT,SAFETY INSURANCE GROUP INC,0.079716
438,LPG,DORIAN LPG LTD,0.079691
439,VICR,VICOR CORP,0.079199
440,ACT,ENACT HOLDINGS INC,0.078185
441,PFBC,PREFERRED BANK/LOS ANGELES,0.077977
442,HCSG,HEALTHCARE SERVICES GROUP,0.077694
443,WS,WORTHINGTON STEEL INC,0.076914
444,SDGR,SCHRODINGER INC,0.07669
445,PMT,PENNYMAC MORTGAGE INVESTMENT,0.076577
446,EPC,EDGEWELL PERSONAL CARE CO,0.076336
447,SCL,STEPAN CO,0.07632
448,TWO,TWO HARBORS INVESTMENT CORP,0.075183
449,NEOG,NEOGEN CORP,0.074986
450,AMPH,AMPHASTAR PHARMACEUTICALS IN,0.07452
451,THRM,GENTHERM INC,0.074171
452,UCTT,ULTRA CLEAN HOLDINGS INC,0.073957
453,AHCO,ADAPTHEALTH CORP,0.073567
454,EIG,EMPLOYERS HOLDINGS INC,0.073214
455,HLIT,HARMONIC INC,0.072863
456,ASTE,ASTEC INDUSTRIES INC,0.072855
457,UNIT,UNITI GROUP INC,0.072581
458,TALO,TALOS ENERGY INC,0.072271
459,CWEN.A,CLEARWAY ENERGY INC A,0.071497
460,MSEX,MIDDLESEX WATER CO,0.070777
461,GIII,G III APPAREL GROUP LTD,0.069769
462,HSII,HEIDRICK + STRUGGLES INTL,0.06976
463,VTOL,BRISTOW GROUP INC,0.069489
464,DEA,EASTERLY GOVERNMENT PROPERTI,0.068785
465,CXM,SPRINKLR INC A,0.06814
466,ECPG,ENCORE CAPITAL GROUP INC,0.068097
467,BRKL,BROOKLINE BANCORP INC,0.068026
468,SPTN,SPARTANNASH CO,0.067527
469,NX,QUANEX BUILDING PRODUCTS,0.067303
470,NAVI,NAVIENT CORP,0.066903
471,KW,KENNEDY WILSON HOLDINGS INC,0.066761
472,CSR,CENTERSPACE,0.066725
473,AMWD,AMERICAN WOODMARK CORP,0.066487
474,COHU,COHU INC,0.066275
475,AAT,AMERICAN ASSETS TRUST INC,0.065625
476,CVI,CVR ENERGY INC,0.06551
477,APOG,APOGEE ENTERPRISES INC,0.06526
478,FBRT,FRANKLIN BSP REALTY TRUST IN,0.065183
479,CRI,CARTER S INC,0.064344
480,WGO,WINNEBAGO INDUSTRIES,0.063669
481,SCSC,SCANSOURCE INC,0.063499
482,AMSF,AMERISAFE INC,0.063427
483,IART,INTEGRA LIFESCIENCES HOLDING,0.062876
484,EXPI,EXP WORLD HOLDINGS INC,0.062865
485,BLFS,BIOLIFE SOLUTIONS INC,0.062083
486,DLX,DELUXE CORP,0.061866
487,AESI,ATLAS ENERGY SOLUTIONS INC,0.06132
488,HLX,HELIX ENERGY SOLUTIONS GROUP,0.061153
489,QNST,QUINSTREET INC,0.060652
490,SBSI,SOUTHSIDE BANCSHARES INC,0.060321
491,EZPW,EZCORP INC CL A,0.059975
492,UTL,UNITIL CORP,0.059733
493,TMP,TOMPKINS FINANCIAL CORP,0.059312
494,THS,TREEHOUSE FOODS INC,0.058992
495,XPEL,XPEL INC,0.058229
496,SMP,STANDARD MOTOR PRODS,0.05765
497,REX,REX AMERICAN RESOURCES CORP,0.0576
498,HFWA,HERITAGE FINANCIAL CORP,0.057398
499,RWT,REDWOOD TRUST INC,0.056408
500,EMBC,EMBECTA CORP,0.056039
501,ANGI,ANGI INC,0.055948
502,NEO,NEOGENOMICS INC,0.055486
503,GOGO,GOGO INC,0.054934
504,BJRI,BJ S RESTAURANTS INC,0.054839
505,PRSU,PURSUIT ATTRACTIONS AND HOSP,0.05426
506,CNXN,PC CONNECTION INC,0.053711
507,CARS,CARS.COM INC,0.0537
508,CPF,CENTRAL PACIFIC FINANCIAL CO,0.05358
509,SABR,SABRE CORP,0.053027
510,MATW,MATTHEWS INTL CORP CLASS A,0.052968
511,DFH,DREAM FINDERS HOMES INC   A,0.052729
512,ALGT,ALLEGIANT TRAVEL CO,0.052674
513,CFFN,CAPITOL FEDERAL FINANCIAL IN,0.052481
